State,APMC,Commodity,Min Price,Modal Price,Max Price,Commodity Arrivals,Commodity Traded,Unit,Date
RAJASTHAN,JAIPUR F AND V MUHANA,COCONUT DEHUSKED IN QUINTAL,"3,000","3,000","5,000","6,181","8,159",Qui,23-09-2024
ANDHRA PRADESH,KURNOOL,ONION,419,"3,639","4,129","6,710","7,936",Qui,23-09-2024
HARYANA,PIPLI APMC,PADDY-BASMATI1509,"1,800","2,650","2,970","10,440","7,853",Qui,23-09-2024
HARYANA,PUNDRI,PADDY-BASMATI1509,"2,160","2,900","3,081","7,725","7,681",Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,BANANA,"1,500","1,500","2,500","2,797","6,668",Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,MOUSAMBI,"2,250","2,250","3,000","3,185","6,046",Qui,23-09-2024
BIHAR,MOHANIYA,PINE APPLE,80,80,80,"6,000","6,000",Nos,23-09-2024
HARYANA,TOHANA,PADDY-BASMATI1509,"2,500","3,120","3,131","11,615","5,705",Qui,23-09-2024
RAJASTHAN,KOTA,WHEAT,"2,550","2,715","2,786","7,143","5,679",Qui,23-09-2024
TAMIL NADU,VADAMADURAI,COCONUT,7,7,7,"5,600","5,600",Nos,23-09-2024
UTTAR PRADESH,BAHRAICH,WHEAT,"2,600","2,600","2,600","7,885","5,510",Qui,23-09-2024
RAJASTHAN,KOTA,SOYABEANS,"3,205","4,505","4,601","6,905","5,457",Qui,23-09-2024
RAJASTHAN,GAJSINGHPUR,MOONG WHOLE (GREEN GRAM),"5,500","7,251","7,777","1,519","5,236",Qui,23-09-2024
ODISHA,KENDRAPARA,COCONUT,12,12,12,"5,200","5,200",Nos,23-09-2024
ANDHRA PRADESH,ADONI,COTTON,"4,000","7,829","8,180","12,641","4,829",Qui,23-09-2024
HARYANA,ISMAILABAD,PADDY-BASMATI1509,"2,200","2,771","3,051","3,835","4,407",Qui,23-09-2024
HARYANA,THANESAR,PADDY-BASMATI1509,"2,200","2,800","3,018","11,766","4,028",Qui,23-09-2024
RAJASTHAN,HANUMANGARH TOWN,PADDY,"1,750","2,171","2,291","4,025","4,025",Qui,23-09-2024
RAJASTHAN,RAWLA,MOONG WHOLE (GREEN GRAM),"5,750","7,500","8,145","1,602","3,981",Qui,23-09-2024
ODISHA,UDALA,BAMBOO,32,32,64,"3,700","3,700",Nos,23-09-2024
TAMIL NADU,GINGEE,PADDY(75 KG),"1,586","2,452","4,119","3,325","3,491",Qui,23-09-2024
RAJASTHAN,BHAWANI MANDI,SOYABEANS,"4,000","4,300","4,623","3,738","3,393",Qui,23-09-2024
HARYANA,NISSING,PADDY-BASMATI1509,"2,400","2,700","2,725","15,460","3,347",Qui,23-09-2024
HARYANA,DHAND,PADDY-BASMATI1509,"2,290","2,750","2,860","3,970","3,258",Qui,23-09-2024
HARYANA,PEHOWA,PADDY-BASMATI1509,"2,400","2,871","2,910","4,790","3,140",Qui,23-09-2024
PUNJAB,NABHA,PADDY-BASMATI1509,"2,400","2,900","3,065","2,667","3,131",Qui,23-09-2024
UTTAR PRADESH,HAPUR,PADDY,"2,300","2,300","2,600","3,070","3,070",Qui,23-09-2024
TELANGANA,BADEPALLY,MAIZE,"1,470","1,733","2,586","3,909","3,008",Qui,23-09-2024
ANDHRA PRADESH,GUNTUR,CHILLI-TEJA,"5,000","18,000","18,700","5,443","2,996",Qui,23-09-2024
MADHYA PRADESH,HARDA,WHEAT,"2,275","2,702","3,000","5,349","2,988",Qui,23-09-2024
TELANGANA,JANGAON,PADDY IR64 NEW,"1,871","1,960","2,072","2,042","2,805",Qui,23-09-2024
MAHARASHTRA,KHAMGAON,SOYABEANS,"4,150","4,325","4,625",0,"2,730",Qui,23-09-2024
RAJASTHAN,KEKRI,MOONG WHOLE (GREEN GRAM),"5,800","7,001","8,181","2,690","2,694",Qui,23-09-2024
RAJASTHAN,BARAN,SOYABEANS,"3,950","4,258","4,446","2,652","2,644",Qui,23-09-2024
TAMIL NADU,AMMOOR,PADDY(75 KG),"1,467","2,528","3,031","2,544","2,585",Qui,23-09-2024
HARYANA,ADAMPUR,GUAR SEEDS,"3,715","5,150","5,289","3,440","2,538",Qui,23-09-2024
ANDHRA PRADESH,MADANAPALLE,TOMATO,"3,500","5,160","5,160","1,200","2,510",Qui,23-09-2024
RAJASTHAN,SIKAR,POTATO,300,"2,100","2,200",939,"2,492",Qui,23-09-2024
RAJASTHAN,SRIKARANPUR,MOONG WHOLE (GREEN GRAM),"5,750","6,900","7,500","1,498","2,490",Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,PUMPKIN,"1,000","1,000","1,500",351,"2,369",Qui,23-09-2024
MAHARASHTRA,VAIJAPUR,ONION,"1,500","3,245","4,820",629,"2,368",Qui,23-09-2024
HIMACHAL PRADESH,ROHRU,APPLE,"5,000","5,000","5,000","2,290","2,321",Qui,23-09-2024
RAJASTHAN,KOTA,GARLIC,"13,025","19,100","28,550","3,188","2,316",Qui,23-09-2024
RAJASTHAN,MERTA CITY,MUSTARD,"5,500","5,500","6,762","1,386","2,262",Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,GINGER,"3,800","3,800","16,000",760,"2,134",Qui,23-09-2024
TELANGANA,KESAMUDRAM,MAIZE,"1,900","2,461","2,555","3,012","2,114",Qui,23-09-2024
RAJASTHAN,RAMGANJ MANDI,SOYABEANS,"4,285","4,487","4,540","2,077","2,077",Qui,23-09-2024
ANDHRA PRADESH,GUNTUR,CHILLI-334,"6,300","11,000","18,300","4,235","2,074",Qui,23-09-2024
MADHYA PRADESH,VIDISHA,WHEAT,"2,480","2,630","3,640","2,024","2,024",Qui,23-09-2024
RAJASTHAN,NADBAI,MUSTARD,"6,000","6,680","6,724","2,022","2,022",Qui,23-09-2024
MADHYA PRADESH,KHARGONE,MAIZE,"1,400","1,411","1,578","2,016","2,005",Qui,23-09-2024
TAMIL NADU,MELUR,COCONUT,6,15,15,"2,000","1,956",Nos,23-09-2024
RAJASTHAN,ANOOPGARH,MOONG WHOLE (GREEN GRAM),"4,800","7,000","7,940","1,946","1,946",Qui,23-09-2024
RAJASTHAN,IKLERA,SOYABEANS,"4,219","4,575","4,657",939,"1,944",Qui,23-09-2024
TAMIL NADU,CHETPET,PADDY(75 KG),"1,416","2,392","3,320","1,872","1,907",Qui,23-09-2024
HARYANA,ADAMPUR,AMERICAN-COTTON,"4,825","7,150","7,526","2,072","1,889",Qui,23-09-2024
